val_0_xcoord,val_0_ycoord,val_1_xcoord,val_1_ycoord,val_2_xcoord,val_2_ycoord,val_3_xcoord,val_3_ycoord,val_4_xcoord,val_4_ycoord,val_5_xcoord,val_5_ycoord,val_6_xcoord,val_6_ycoord,val_7_xcoord,val_7_ycoord,val_8_xcoord,val_8_ycoord,val_9_xcoord,val_9_ycoord,val_10_xcoord,val_10_ycoord,val_11_xcoord,val_11_ycoord,val_12_xcoord,val_12_ycoord,val_13_xcoord,val_13_ycoord,val_14_xcoord,val_14_ycoord,val_15_xcoord,val_15_ycoord,val_16_xcoord,val_16_ycoord,val_17_xcoord,val_17_ycoord,val_18_xcoord,val_18_ycoord,val_19_xcoord,val_19_ycoord,val_20_xcoord,val_20_ycoord,val_21_xcoord,val_21_ycoord,val_22_xcoord,val_22_ycoord,val_23_xcoord,val_23_ycoord
9.016,0.928,0.374,1.148,-61.063,-31.781,16.852,-76.679,10.273,-1.732,7.772,1.198,-65.266,-7.685,9.96,1.14,0.0,-9.049,-7.331,-76.759,-30.156,-68.401,5.902,-11.982,2.601,1.206,0.283,1.192,10.045,1.184,5.05,1.058,10.449,0.981,-48.889,-52.72,0.0,-19.249,70.507,-31.719,58.134,-52.85,39.713,-68.357,10.217,-11.866,74.726,-7.802
8.979,0.951,0.374,1.149,-61.082,-31.778,16.832,-76.678,10.254,-1.728,7.762,1.201,-65.286,-7.682,9.96,1.526,0.0,-2.269,-7.35,-76.758,-30.176,-68.398,5.802,-11.943,2.592,1.207,0.283,1.242,10.045,1.234,5.05,4.876,10.399,1.031,-48.908,-52.719,0.0,-8.849,70.487,-31.717,58.114,-52.848,39.694,-68.356,10.217,-9.099,74.707,-7.798
5.983,0.951,0.393,1.201,-61.101,-31.771,16.813,-76.672,10.235,-1.721,7.753,1.205,-65.304,-7.676,9.876,1.89,-0.001,-2.264,-7.369,-76.752,-30.194,-68.391,5.802,-9.491,2.582,1.211,0.307,1.242,10.074,1.234,4.999,5.083,10.399,1.131,-48.927,-52.713,0.2,-8.849,70.468,-31.712,58.096,-52.842,39.675,-68.351,10.4,-9.099,53.111,1.672
5.983,0.947,0.43,1.301,-61.118,-31.761,16.796,-76.662,10.219,-1.71,7.745,1.211,-65.321,-7.666,9.875,1.893,-0.001,-2.024,-7.386,-76.743,-30.211,-68.38,5.827,-9.462,2.574,1.216,0.341,1.403,10.074,2.925,4.997,5.086,10.449,1.181,-48.945,-52.704,0.2,-19.049,70.451,-31.702,58.079,-52.832,39.657,-68.342,10.4,-10.384,21.147,1.006
4.31,0.959,0.464,1.396,-61.132,-31.748,16.781,-76.65,10.205,-1.696,7.739,1.218,-65.336,-7.652,9.874,1.898,0.003,-2.005,-7.402,-76.73,-30.225,-68.367,5.827,-8.431,2.567,1.222,0.367,1.696,10.046,3.036,4.997,10.579,16.432,1.181,-48.96,-52.692,2.121,-19.049,70.436,-31.69,58.064,-52.82,39.642,-68.33,10.517,-10.866,20.575,1.006
1.349,0.959,0.565,2.505,-61.144,-31.732,16.768,-76.635,10.194,-1.68,7.734,1.226,-65.347,-7.636,9.851,1.999,0.01,-1.987,-7.414,-76.715,-30.236,-68.351,5.802,-8.393,2.561,1.23,0.283,2.413,10.047,3.036,3.922,34.86,16.807,1.183,-48.973,-52.677,2.161,-19.059,51.316,-8.219,58.051,-52.804,39.629,-68.315,10.517,-11.866,20.556,1.01
1.307,0.933,0.65,2.922,-61.152,-31.714,16.759,-76.617,10.186,-1.662,7.73,1.236,-65.356,-7.619,9.85,2.003,0.021,-1.97,-7.424,-76.698,-30.244,-68.333,5.802,-3.366,2.557,1.239,0.107,3.053,10.047,3.037,-7.591,61.304,20.628,1.206,-48.982,-52.66,2.201,-19.079,19.637,-7.371,58.042,-52.787,39.619,-68.298,10.217,-11.866,20.538,1.017
0.547,0.933,0.648,2.932,-61.157,-31.695,16.753,-76.598,10.182,-1.643,7.729,1.245,-65.36,-7.599,9.849,2.005,0.035,-1.956,-7.429,-76.679,-30.249,-68.314,4.866,-3.352,2.554,1.249,-0.018,3.232,10.046,3.047,-7.595,61.323,20.653,1.006,-48.988,-52.641,2.221,-19.109,19.605,-7.392,49.574,-22.713,39.613,-68.279,,,20.521,1.028
0.508,0.959,0.639,3.357,-61.157,-31.675,16.752,-76.579,10.181,-1.487,7.735,1.385,-65.361,-7.58,9.787,2.271,0.052,-1.945,-7.431,-76.659,-30.249,-68.294,4.846,-3.341,2.548,1.385,-0.015,3.233,10.046,3.057,-7.595,61.343,16.805,0.983,-48.99,-52.621,2.221,-19.189,19.603,-7.386,35.204,-12.29,36.258,-40.586,,,20.507,1.042
0.349,0.959,0.578,3.542,-61.154,-31.656,20.445,-39.529,10.18,-1.483,7.763,1.608,-65.358,-7.56,9.773,2.331,0.07,-1.938,-7.43,-76.64,-30.246,-68.274,4.819,-3.311,2.522,1.602,-0.024,3.248,10.122,3.372,-7.592,61.362,16.468,0.981,-48.989,-52.602,2.201,-19.219,19.603,-7.391,20.058,-9.049,31.43,-23.124,,,20.496,1.059
0.349,1.009,0.58,3.542,-61.147,-31.637,17.289,-26.121,10.18,-1.352,7.81,1.878,-65.352,-7.542,9.742,2.465,0.089,-1.934,1.045,-48.219,-14.352,-26.789,4.817,-3.309,2.488,1.791,-0.75,5.408,11.041,4.902,-7.584,61.381,10.449,0.981,-48.983,-52.583,2.161,-19.239,10.382,-7.264,6.115,-9.049,19.895,-13.209,,,20.489,1.077
0.373,1.009,0.577,3.555,-61.137,-31.62,16.257,-25.118,10.178,-1.06,7.845,2.042,-65.342,-7.525,9.675,2.759,0.109,-1.934,3.086,-27.429,-8.934,-11.553,4.802,-3.292,2.42,2.1,-10.73,14.749,11.099,5.07,-7.574,61.397,,,-29.156,-14.374,2.121,-19.249,10.382,-8.799,6.075,-9.039,14.827,-12.048,,,20.485,1.096
0.373,1.033,0.593,5.758,-33.193,-1.406,16.246,-25.102,10.18,-1.051,7.857,2.095,-65.328,-7.51,9.655,2.909,0.128,-1.938,3.092,-27.411,-6.052,-8.858,4.799,-3.289,2.42,2.111,-34.472,18.66,11.101,5.085,-7.56,61.412,,,-12.845,-1.036,0.0,-19.249,10.182,-8.799,6.035,-9.019,14.809,-12.04,,,20.485,1.116
0.423,1.033,-2.943,14.103,-13.28,4.612,16.238,-25.084,10.18,-0.233,7.857,2.109,-65.312,-7.499,9.639,3.068,0.146,-1.945,3.092,-23.753,-5.79,-8.833,4.798,-3.287,2.408,2.171,-61.3,16.152,11.107,5.104,-7.544,61.423,,,-7.103,1.218,,,10.18,-2.033,6.015,-8.989,14.807,-12.039,,,20.489,1.135
0.423,1.009,-9.738,24.226,-3.799,4.397,16.237,-25.079,10.181,-0.233,7.895,2.303,-34.331,7.058,9.653,3.674,0.163,-1.956,3.093,-23.753,-5.77,-8.834,4.794,-3.281,2.406,2.178,-61.32,16.154,11.117,5.121,-7.526,61.431,,,-6.347,1.231,,,10.19,-1.993,6.015,-8.909,14.601,-11.993,,,20.496,1.153
0.509,1.009,-30.73,32.959,-1.099,3.095,13.904,-22.785,10.181,-0.022,7.971,2.485,-12.558,8.909,9.679,3.83,0.177,-1.97,3.093,-19.249,-5.751,-8.84,4.777,-3.259,2.406,2.179,-61.339,16.159,11.13,5.136,-7.507,61.435,,,-6.328,1.228,,,10.21,-1.953,6.035,-8.879,11.233,-11.993,,,20.507,1.17
0.549,1.033,-49.064,37.319,-1.083,3.083,13.908,-22.781,10.18,-0.022,8.08,2.648,-2.109,5.105,10.366,5.649,0.188,-1.987,2.671,-19.249,-5.736,-8.849,4.77,-3.249,2.384,2.285,-61.356,16.169,35.335,23.936,-7.487,61.435,,,-6.32,1.225,,,10.24,-1.933,6.075,-8.859,11.192,-11.966,,,20.521,1.184
1.308,1.033,-49.082,37.327,-1.07,3.068,10.272,-19.249,10.18,0.951,8.207,2.775,-0.383,3.235,10.375,5.83,0.195,-2.005,2.631,-19.239,5.565,-8.849,4.698,-3.153,2.318,2.448,-61.371,16.181,58.203,37.257,-7.468,61.432,,,-6.066,1.188,,,10.32,-1.933,6.115,-8.849,9.49,-11.966,,,20.538,1.195
1.349,1.009,-49.098,37.339,-1.06,3.051,10.217,-19.249,10.149,0.951,8.204,2.78,-0.373,3.218,10.375,5.851,0.199,-2.024,2.591,-19.219,5.605,-8.859,4.694,-3.144,2.219,2.596,-61.384,16.197,58.222,37.264,-7.449,61.424,,,-0.067,1.188,,,10.35,-1.953,19.994,-8.849,9.462,-11.993,,,20.556,1.202
1.8,1.01,-49.111,37.353,-1.053,3.033,10.217,-19.248,10.149,1.001,7.453,4.983,-0.366,3.199,10.378,5.87,0.199,-2.135,2.571,-19.189,5.645,-8.879,4.692,-3.137,2.094,2.721,-61.393,16.214,58.241,37.266,-7.433,61.414,,,-0.017,1.138,,,10.37,-1.993,20.005,-8.844,5.806,-11.993,,,20.575,1.206
1.842,1.013,-49.121,37.37,-1.052,3.024,5.571,-19.248,10.188,1.001,7.434,5.435,-0.363,3.18,11.831,9.706,0.2,-2.135,2.571,-19.109,5.665,-8.909,4.691,-3.135,1.946,2.819,-61.399,16.233,58.261,37.265,-7.418,61.4,,,-0.017,1.038,,,10.38,-2.033,20.025,-8.841,5.806,-11.893,,,21.145,1.206
1.847,1.012,-49.128,37.388,-0.973,2.916,5.571,-19.249,10.199,1.012,7.386,5.608,-0.363,3.16,25.474,30.031,0.2,-9.049,2.591,-19.079,5.665,-8.989,1.951,0.809,1.783,2.887,-61.4,16.252,58.28,37.26,-7.407,61.384,,,-0.067,0.988,,,10.382,-7.064,20.044,-8.841,9.462,-11.893,,,53.151,1.872
1.852,1.012,-49.131,37.408,-0.194,2.298,4.271,-19.249,10.199,1.129,7.381,5.615,-0.365,3.151,39.571,52.968,0.0,-9.049,2.631,-19.059,5.645,-9.019,1.38,0.809,1.609,2.922,-61.398,16.272,58.298,37.252,4.12,34.906,,,-6.086,0.988,,,19.434,-7.189,20.081,-8.849,9.462,-11.894,,,74.787,-7.614
1.857,1.013,-49.131,37.428,0.173,1.706,4.231,-19.239,10.188,1.14,7.372,5.632,-0.345,3.02,39.584,52.982,,,2.671,-19.049,5.605,-9.039,1.38,0.909,1.431,2.922,-61.393,16.291,58.313,37.24,5.192,10.669,,,-6.423,0.99,,,19.435,-7.188,20.14,-8.849,9.488,-11.916,,,74.803,-7.626
1.86,1.015,-49.126,37.447,0.182,1.613,4.191,-19.219,10.188,1.439,7.367,5.651,0.065,2.36,39.6,52.994,,,3.721,-19.049,5.565,-9.049,2.18,0.909,1.257,2.887,-61.383,16.308,58.326,37.225,5.197,10.668,,,-6.423,0.992,,,19.452,-7.177,20.14,-8.85,11.191,-11.916,,,74.817,-7.64
1.861,1.015,-49.118,37.465,0.181,1.607,4.171,-19.189,10.187,1.466,7.366,5.671,0.287,1.699,39.618,53.002,,,3.761,-19.059,-5.932,-9.049,2.18,0.809,1.094,2.82,-61.371,16.323,58.336,37.208,5.197,10.566,,,-6.558,1.027,,,19.47,-7.17,20.183,-8.871,11.233,-11.893,,,74.828,-7.656
1.943,1.021,-49.106,37.481,0.181,1.606,4.171,-19.109,10.187,1.553,8.211,12.258,0.286,1.664,39.637,53.007,,,3.801,-19.079,-5.932,-9.047,2.178,0.809,0.945,2.721,-61.355,16.336,58.343,37.189,5.198,10.543,,,-7.063,1.018,,,19.49,-7.167,35.288,-12.104,14.6,-11.893,,,74.835,-7.675
2.052,1.05,-49.092,37.494,0.183,1.51,4.191,-19.079,10.188,1.557,8.208,12.268,0.248,1.265,39.657,53.007,,,3.821,-19.109,-5.966,-9.05,2.11,0.755,0.819,2.595,-61.338,16.345,58.345,37.17,5.197,10.536,,,-12.743,-1.21,,,51.414,-8.021,49.748,-22.591,14.849,-11.853,,,74.838,-7.694
2.053,1.051,-49.075,37.504,0.183,1.014,4.231,-19.059,10.211,1.739,8.208,12.288,0.248,1.166,39.676,53.004,,,3.821,-19.189,-8.762,-11.665,4.796,-3.112,0.818,2.588,-61.319,16.351,58.344,37.15,5.197,5.086,,,-28.998,-14.502,,,70.591,-31.563,58.235,-52.732,14.872,-11.853,,,74.838,-7.714
2.627,1.157,-49.057,37.511,0.188,1.009,4.271,-19.049,10.342,2.308,16.825,61.217,0.28,1.122,39.695,52.997,,,3.801,-19.219,-14.164,-26.859,4.8,-3.121,0.814,2.579,-34.464,18.862,58.339,37.131,5.194,5.08,,,-48.806,-52.675,,,70.6,-31.581,58.236,-52.752,19.987,-13.025,,,74.834,-7.733
4.546,1.159,-49.037,37.514,0.234,1.009,5.14,-19.049,10.519,3.069,16.832,61.235,0.289,1.126,39.712,52.987,,,3.761,-19.239,-30.059,-68.346,4.8,-3.123,0.809,2.571,-10.704,14.947,58.331,37.113,5.15,4.856,,,-48.818,-52.69,,,70.606,-31.6,58.234,-52.772,31.606,-23.012,,,74.826,-7.751
4.546,1.154,-49.017,37.514,0.234,0.959,5.14,-19.048,10.518,3.076,16.843,61.252,0.299,1.128,39.726,52.974,,,3.721,-19.249,-30.07,-68.363,4.891,-3.244,0.802,2.564,-10.702,14.948,58.319,37.098,5.15,1.058,,,-48.833,-52.703,,,70.607,-31.619,58.228,-52.79,36.454,-40.548,,,74.814,-7.767
5.837,1.147,-30.668,33.149,0.186,0.959,10.217,-19.048,10.518,3.086,16.857,61.266,0.309,1.128,39.738,52.958,,,3.293,-19.249,-30.083,-68.377,4.895,-3.253,0.794,2.559,-10.682,14.948,58.304,37.085,5.05,1.058,,,-48.85,-52.712,,,70.605,-31.639,58.218,-52.807,39.811,-68.255,,,74.8,-7.781
5.837,1.151,-9.606,24.388,0.183,0.955,10.217,-14.063,10.52,3.095,16.873,61.278,0.319,1.126,39.746,52.94,,,3.293,-23.838,-30.099,-68.388,5.824,-3.266,0.785,2.555,-10.663,14.945,35.447,23.77,,,,,-48.869,-52.718,,,70.6,-31.658,58.206,-52.822,39.81,-68.274,,,74.784,-7.792
7.756,1.149,-2.767,14.199,0.183,-0.035,10.218,-14.063,10.525,3.104,16.891,61.285,0.328,1.122,39.751,52.921,,,3.292,-23.838,-30.117,-68.396,8.24,0.756,0.775,2.553,-10.645,14.938,11.325,5.034,,,,,-48.889,-52.72,,,70.59,-31.675,58.19,-52.835,39.805,-68.293,,,74.765,-7.799
8.33,1.043,0.793,5.798,0.195,-0.21,10.218,-13.415,10.53,3.112,16.91,61.29,0.336,1.117,39.751,52.901,,,3.292,-27.553,-30.136,-68.401,8.177,0.801,0.765,2.553,-10.628,14.928,11.3,5.001,,,,,,,,,70.578,-31.69,58.173,-52.844,39.796,-68.311,,,74.746,-7.802
8.331,1.042,0.777,3.553,0.2,-0.224,10.217,-13.415,11.998,4.482,16.93,61.29,0.343,1.11,39.748,52.882,,,3.29,-27.553,-30.156,-68.401,8.177,0.901,0.755,2.555,-10.618,14.922,11.29,4.997,,,,,,,,,70.563,-31.703,58.154,-52.849,39.784,-68.326,,,74.726,-7.802
8.44,1.013,0.773,3.534,0.2,-1.25,10.217,-12.016,12.123,4.664,16.949,61.287,0.348,1.102,39.741,52.863,,,3.272,-27.583,,,8.977,0.901,0.746,2.559,-10.603,14.908,11.137,4.867,,,,,,,,,70.545,-31.712,58.134,-52.85,39.769,-68.339,,,,
8.522,1.007,0.768,3.522,0.201,-1.253,10.517,-12.016,12.124,4.663,16.967,61.28,0.352,1.093,25.642,29.923,,,1.243,-48.257,,,8.977,0.801,0.738,2.564,-10.596,14.898,10.216,3.334,,,,,,,,,70.526,-31.718,,,39.752,-68.349,,,,
8.523,1.007,0.739,3.302,0.201,-1.35,10.517,-13.016,12.125,4.664,16.984,61.269,0.354,1.083,12.009,9.614,,,-7.238,-76.697,,,8.383,0.801,0.731,2.571,-0.576,5.52,10.143,3.034,,,,,,,,,70.507,-31.719,,,39.733,-68.355,,,,
8.526,1.005,0.745,3.057,0.203,-1.641,10.398,-13.506,12.139,4.677,16.998,61.255,0.354,1.073,10.565,5.799,,,-7.247,-76.714,,,6.012,-3.146,0.726,2.579,0.166,3.312,10.14,3.027,,,,,,,,,,,,,39.713,-68.357,,,,
8.531,1.004,0.729,2.898,0.199,-1.66,10.398,-14.086,12.156,4.687,17.01,61.239,0.352,1.063,10.555,5.783,,,-7.26,-76.73,,,6.013,-3.147,0.722,2.588,0.168,3.292,10.139,3.025,,,,,,,,,,,,,,,,,,
8.536,1.004,0.727,2.897,0.192,-1.679,10.4,-14.086,42.066,14.856,17.017,61.221,0.348,1.054,10.541,5.768,,,-7.275,-76.742,,,5.901,-3.354,0.72,2.598,0.167,3.272,10.124,2.931,,,,,,,,,,,,,,,,,,
8.541,1.005,0.645,2.493,0.181,-1.695,10.4,-19.094,70.546,16.24,17.022,61.202,0.343,1.046,10.536,5.765,,,-7.292,-76.752,,,5.902,-3.355,0.72,2.608,0.162,3.253,10.124,1.234,,,,,,,,,,,,,,,,,,
8.583,1.002,0.562,1.583,0.167,-1.709,14.104,-22.692,70.565,16.237,17.022,61.182,0.336,1.039,10.487,5.682,,,-7.311,-76.757,,,5.902,-8.393,0.722,2.618,0.16,3.249,10.153,1.234,,,,,,,,,,,,,,,,,,
8.974,1.001,0.561,1.581,0.151,-1.72,14.099,-22.697,70.584,16.231,8.423,12.353,0.328,1.034,9.754,3.743,,,-7.331,-76.759,,,5.901,-8.393,0.726,2.627,0.155,3.067,10.153,1.184,,,,,,,,,,,,,,,,,,
8.974,1.004,0.56,1.577,0.133,-1.728,16.946,-25.496,70.601,16.221,8.423,12.345,0.319,1.03,9.736,2.943,,,,,,,5.877,-8.43,0.731,2.635,0.333,2.423,10.045,1.184,,,,,,,,,,,,,,,,,,
9.015,1.028,0.56,1.572,0.114,-1.732,16.94,-25.502,70.615,16.207,7.564,5.646,0.309,1.028,9.736,2.923,,,,,,,5.877,-9.462,0.738,2.642,0.417,1.696,,,,,,,,,,,,,,,,,,,,
9.774,1.028,0.561,1.569,0.094,-1.732,17.471,-26.019,70.627,16.192,7.558,5.627,0.299,1.028,9.819,2.516,,,,,,,5.902,-9.491,0.74,2.643,0.391,1.395,,,,,,,,,,,,,,,,,,,,
9.819,1.001,0.543,1.378,0.075,-1.728,20.647,-39.515,70.636,16.174,7.536,5.403,0.289,1.03,9.825,2.447,,,,,,,5.902,-11.982,0.749,2.656,0.358,1.243,,,,,,,,,,,,,,,,,,,,
9.96,1.001,0.543,1.377,0.056,-1.721,16.951,-76.599,70.64,16.155,7.553,5.001,0.28,1.034,9.836,2.401,,,,,,,,,0.889,2.796,0.374,1.243,,,,,,,,,,,,,,,,,,,,
9.96,1.025,0.441,1.179,0.04,-1.71,16.945,-76.618,70.641,16.135,8.291,2.835,0.272,1.039,9.898,2.135,,,,,,,,,1.052,2.905,0.355,1.192,,,,,,,,,,,,,,,,,,,,
10.01,1.025,0.437,1.172,0.026,-1.696,16.935,-76.635,70.638,16.116,8.383,2.897,0.265,1.046,10.01,1.649,,,,,,,,,1.234,2.981,0.283,1.192,,,,,,,,,,,,,,,,,,,,
10.01,1.001,0.423,1.148,0.015,-1.68,16.923,-76.65,70.632,16.097,8.565,2.973,0.26,1.054,10.01,1.14,,,,,,,,,1.428,3.019,,,,,,,,,,,,,,,,,,,,,,
10.034,1.001,0.374,1.148,0.007,-1.662,16.908,-76.663,70.622,16.08,8.759,3.011,0.256,1.063,9.96,1.14,,,,,,,,,1.624,3.019,,,,,,,,,,,,,,,,,,,,,,
10.034,0.951,,,0.003,-1.643,16.89,-76.672,70.608,16.066,8.955,3.011,0.254,1.073,,,,,,,,,,,1.818,2.981,,,,,,,,,,,,,,,,,,,,,,
9.81,0.951,,,0.002,-1.498,16.871,-76.678,70.593,16.054,9.149,2.973,0.254,1.083,,,,,,,,,,,1.955,2.924,,,,,,,,,,,,,,,,,,,,,,
9.776,0.928,,,0.001,-1.493,16.852,-76.679,70.575,16.045,9.331,2.897,0.256,1.093,,,,,,,,,,,2.415,5.112,,,,,,,,,,,,,,,,,,,,,,
9.016,0.928,,,0.001,-1.356,,,70.556,16.041,9.494,2.788,0.26,1.101,,,,,,,,,,,2.415,5.398,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-1.356,,,42.104,14.658,9.634,2.648,0.218,1.166,,,,,,,,,,,2.385,5.628,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-1.206,,,12.233,4.501,9.643,2.636,0.218,1.277,,,,,,,,,,,2.372,5.667,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.001,-1.06,,,12.052,4.395,9.644,2.635,0.219,1.297,,,,,,,,,,,2.369,5.672,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-1.055,,,10.599,3.039,9.652,2.63,0.236,1.664,,,,,,,,,,,2.363,5.691,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-0.224,,,10.593,3.036,9.659,2.623,0.236,1.665,,,,,,,,,,,1.65,12.783,,,,,,,,,,,,,,,,,,,,,,
,,,,0.008,-0.218,,,10.435,2.351,9.664,2.615,0.237,1.691,,,,,,,,,,,1.65,12.784,,,,,,,,,,,,,,,,,,,,,,
,,,,0.109,-0.012,,,10.434,2.349,9.668,2.606,0.019,2.338,,,,,,,,,,,-4.798,32.067,,,,,,,,,,,,,,,,,,,,,,
,,,,0.109,-0.011,,,10.434,2.348,9.67,2.596,-0.377,2.975,,,,,,,,,,,-30.323,52.797,,,,,,,,,,,,,,,,,,,,,,
,,,,0.133,0.055,,,10.433,2.343,9.67,2.586,-0.502,3.082,,,,,,,,,,,-30.335,52.812,,,,,,,,,,,,,,,,,,,,,,
,,,,0.133,1.51,,,10.43,2.329,9.668,2.576,-0.514,3.087,,,,,,,,,,,-30.345,52.829,,,,,,,,,,,,,,,,,,,,,,
,,,,0.112,1.61,,,10.428,2.321,9.664,2.567,-0.53,3.099,,,,,,,,,,,-30.35,52.848,,,,,,,,,,,,,,,,,,,,,,
,,,,0.113,1.61,,,10.426,2.31,9.659,2.559,-2.223,4.933,,,,,,,,,,,-30.352,52.867,,,,,,,,,,,,,,,,,,,,,,
,,,,0.105,1.682,,,10.319,1.85,9.652,2.552,-12.584,8.705,,,,,,,,,,,-30.351,52.887,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.248,2.25,,,10.249,1.547,9.644,2.547,-34.279,6.862,,,,,,,,,,,-30.345,52.906,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.03,2.872,,,10.249,0.014,9.635,2.543,-65.227,-7.68,,,,,,,,,,,-30.336,52.923,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.169,2.909,,,10.347,-0.192,9.625,2.541,-65.247,-7.684,,,,,,,,,,,-30.323,52.939,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.168,2.91,,,10.37,-0.221,9.615,2.541,-65.266,-7.685,,,,,,,,,,,-30.308,52.951,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.186,2.915,,,10.38,-0.251,9.605,2.543,,,,,,,,,,,,,-30.291,52.961,,,,,,,,,,,,,,,,,,,,,,
,,,,-3.847,4.199,,,10.38,-1.35,9.596,2.547,,,,,,,,,,,,,-30.272,52.966,,,,,,,,,,,,,,,,,,,,,,
,,,,-13.252,4.412,,,10.382,-1.641,9.588,2.552,,,,,,,,,,,,,-30.253,52.968,,,,,,,,,,,,,,,,,,,,,,
,,,,-33.083,-1.582,,,10.378,-1.66,9.581,2.559,,,,,,,,,,,,,-30.233,52.967,,,,,,,,,,,,,,,,,,,,,,
,,,,-60.99,-31.756,,,10.371,-1.679,9.576,2.567,,,,,,,,,,,,,-30.214,52.961,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.006,-31.768,,,10.36,-1.695,9.575,2.57,,,,,,,,,,,,,-30.197,52.952,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.024,-31.776,,,10.346,-1.709,9.563,2.588,,,,,,,,,,,,,-4.626,32.185,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.043,-31.781,,,10.33,-1.72,9.438,2.713,,,,,,,,,,,,,1.775,13.04,,,,,,,,,,,,,,,,,,,,,,
,,,,-61.063,-31.781,,,10.312,-1.728,9.289,2.812,,,,,,,,,,,,,1.789,13.033,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10.293,-1.732,9.126,2.879,,,,,,,,,,,,,1.804,13.02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10.273,-1.732,8.952,2.914,,,,,,,,,,,,,1.816,13.005,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.774,2.914,,,,,,,,,,,,,1.826,12.988,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.6,2.879,,,,,,,,,,,,,1.832,12.969,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.437,2.811,,,,,,,,,,,,,2.562,5.711,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.289,2.713,,,,,,,,,,,,,2.561,5.692,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.164,2.588,,,,,,,,,,,,,2.56,5.69,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.065,2.44,,,,,,,,,,,,,2.56,5.687,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.999,2.277,,,,,,,,,,,,,2.515,5.429,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.977,2.171,,,,,,,,,,,,,2.515,5.102,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.977,2.17,,,,,,,,,,,,,2.047,2.874,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.975,2.163,,,,,,,,,,,,,2.163,2.796,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.963,2.103,,,,,,,,,,,,,2.303,2.656,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.963,2.092,,,,,,,,,,,,,2.412,2.493,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.895,1.783,,,,,,,,,,,,,2.488,2.311,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.861,1.594,,,,,,,,,,,,,2.526,2.117,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.835,1.377,,,,,,,,,,,,,2.526,2.103,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.829,1.241,,,,,,,,,,,,,2.538,2.05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.826,1.231,,,,,,,,,,,,,2.573,1.886,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.822,1.222,,,,,,,,,,,,,2.62,1.616,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.816,1.214,,,,,,,,,,,,,2.648,1.393,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.809,1.208,,,,,,,,,,,,,2.654,1.253,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.801,1.203,,,,,,,,,,,,,2.653,1.244,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.791,1.199,,,,,,,,,,,,,2.649,1.234,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.782,1.198,,,,,,,,,,,,,2.644,1.226,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.772,1.198,,,,,,,,,,,,,2.638,1.219,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.63,1.213,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.621,1.209,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.611,1.206,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.601,1.206,,,,,,,,,,,,,,,,,,,,,,
